node_num,node_name,node_type,outgoing_weight,incoming_weight,total_weight
1,ABL1,gene,0.0,4.992921044,4.992921044
2,ABL2,gene,0.0,2.4271364799999997,2.4271364799999997
3,ACAA1,gene,0.0,1.182425782,1.182425782
4,ACACA,gene,0.0,0.2052839698,0.2052839698
5,ACACB,gene,0.0,0.4188860772,0.4188860772
6,ACADL,gene,0.0,1.6591289599999999,1.6591289599999999
7,ACADM,gene,0.0,1.537951259,1.537951259
8,ACOX1,gene,0.0,2.2823632839999997,2.2823632839999997
9,ACOX2,gene,0.0,2.418404788,2.418404788
10,ACOX3,gene,0.0,1.6791987679999998,1.6791987679999998
11,ACSBG1,gene,0.0,1.596163952,1.596163952
12,ACSBG2,gene,0.0,2.237104532,2.237104532
13,ACSL1,gene,0.0,2.112605593,2.112605593
14,ACSL3,gene,0.0,1.8377753216000001,1.8377753216000001
15,ACSL5,gene,0.0,2.29629144206,2.29629144206
16,ACSL6,gene,0.0,2.024836404,2.024836404
17,ACTA2,gene,0.0,0.0,0.0
18,ACTB,gene,0.0,0.4594999767999999,0.4594999767999999
19,ACTG1,gene,0.0,0.207618144,0.207618144
20,ACVR1,gene,0.9982964899999999,0.0,0.9982964899999999
21,ACVR1B,gene,0.0,0.0,0.0
22,ACVR1C,gene,0.0,0.0,0.0
23,ACVR2A,gene,0.0,0.0,0.0
24,ACVR2B,gene,0.0,0.0,0.0
25,ADAM17,gene,0.0,0.0,0.0
26,ADCY1,gene,0.0,0.229835288,0.229835288
27,ADCY10,gene,0.0,0.0,0.0
28,ADCY2,gene,0.0,0.0,0.0
29,ADCY3,gene,0.0,0.0,0.0
30,ADCY4,gene,0.0,0.0,0.0
31,ADCY5,gene,0.0,0.0,0.0
32,ADCY6,gene,0.0,0.0,0.0
33,ADCY7,gene,0.0,0.0,0.0
34,ADCY8,gene,0.0,0.0,0.0
35,ADCY9,gene,0.0,0.0,0.0
36,ADCYAP1,gene,0.0,0.0,0.0
37,ADCYAP1R1,gene,0.0,0.0,0.0
38,ADGRB1,gene,0.0,0.241514658,0.241514658
39,ADIPOQ,gene,0.0,1.7215104187999999,1.7215104187999999
40,ADIPOR1,gene,0.0,0.0,0.0
41,ADIPOR2,gene,0.0,0.0,0.0
42,ADORA1,gene,0.0,0.0,0.0
43,ADORA2A,gene,0.0,0.0,0.0
44,ADORA2B,gene,0.0,0.0,0.0
45,ADORA3,gene,0.0,0.0,0.0
46,ADRA1A,gene,0.2356134959999999,0.0,0.2356134959999999
47,ADRA1B,gene,0.0,0.0,0.0
48,ADRA1D,gene,0.0,0.0,0.0
49,ADRA2A,gene,0.0,0.0,0.0
50,ADRA2B,gene,0.0,0.0,0.0
51,ADRA2C,gene,0.0,0.0,0.0
52,ADRB1,gene,0.0,0.0,0.0
53,ADRB2,gene,0.0,0.0,0.0
54,ADRB3,gene,0.0,0.0,0.0
55,AFDN,gene,0.0,0.0,0.0
56,AFP,gene,0.0,0.0,0.0
57,AGAP2,gene,0.8821458016,0.0,0.8821458016
58,AGER,gene,1.2424486787999998,0.725977595,1.9684262737999998
59,AGRP,gene,0.0,0.225655944,0.225655944
60,AGT,gene,0.0,0.0,0.0
61,AGTR1,gene,0.0,0.0,0.0
62,AIFM2,gene,0.0,0.2240328049999999,0.2240328049999999
63,AIM2,gene,0.0,0.0,0.0
64,AJUBA,gene,0.0,0.0,0.0
65,AKT1,gene,11.416901183399998,11.45355331968,22.870454503079998
66,AKT1S1,gene,2.251340476,3.4890524467999997,5.7403929228
67,AKT2,gene,11.364252842199999,10.562863883999999,21.927116726199998
68,AKT3,gene,10.186308936,10.890322294799999,21.076631230799997
69,ALDOA,gene,0.0,0.0,0.0
70,ALDOB,gene,0.0,0.21447064,0.21447064
71,ALDOC,gene,0.0,0.0,0.0
72,AMH,gene,0.2125243939999999,0.450563888,0.6630882819999999
73,AMHR2,gene,0.0,0.0,0.0
74,ANAPC5,gene,0.0,0.0,0.0
75,ANGPT1,gene,7.605979259,0.9901440626,8.5961233216
76,ANGPT2,gene,5.9514351616,1.3365099191999998,7.2879450808
77,ANGPT4,gene,5.704602303,1.1064617128,6.8110640157999995
78,ANGPTL4,gene,0.0,2.112618107,2.112618107
79,AOX1,gene,0.0,1.669427175,1.669427175
80,APAF1,gene,0.0,0.0,0.0
81,APBB1IP,gene,0.0,0.0,0.0
82,APC,gene,0.0,0.0,0.0
83,APC2,gene,0.0,0.0,0.0
84,APH1A,gene,0.0,0.0,0.0
85,APH1B,gene,0.0,0.0,0.0
86,APLNR,gene,0.0,0.0,0.0
87,APOA1,gene,0.0,2.035898254,2.035898254
88,APOA2,gene,0.0,2.00035932,2.00035932
89,APOA5,gene,0.0,1.9126887088000002,1.9126887088000002
90,APOC3,gene,0.0,1.6989190079999998,1.6989190079999998
91,AQP7,gene,0.0,1.498698498,1.498698498
92,ARAP3,gene,0.0,0.0,0.0
93,AREG,gene,7.358709182799999,0.225516995,7.5842261778
94,ARF1,gene,0.0,0.0,0.0
95,ARF6,gene,0.0,0.0,0.0
96,ARHGDIA,gene,0.0,0.0,0.0
97,ARHGDIB,gene,0.0,0.0,0.0
98,ARHGDIG,gene,0.0,0.0,0.0
99,ARHGEF12,gene,0.0,0.0,0.0
100,ARNT,gene,4.989698986372,0.933218117,5.922917103372
101,ARRB1,gene,0.0,0.0,0.0
102,ARRB2,gene,0.211435986,0.0,0.211435986
103,ASPH,gene,0.0,0.0,0.0
104,ATF2,gene,5.7961428622,4.5084584562,10.3046013184
105,ATF4,gene,3.1241107149,3.3633976081999997,6.4875083231
106,ATF6B,gene,1.526792048,2.1180852461999997,3.6448772941999996
107,ATG12,gene,0.0,0.0,0.0
108,ATG16L1,gene,0.0,0.0,0.0
109,ATG5,gene,0.0,0.0,0.0
110,ATM,gene,0.0,0.0,0.0
111,ATP1A1,gene,0.0,0.9848412993999999,0.9848412993999999
112,ATP1A2,gene,0.0,0.7579760799999999,0.7579760799999999
113,ATP1A3,gene,0.0,0.46422219400000003,0.46422219400000003
114,ATP1A4,gene,0.0,0.454770222,0.454770222
115,ATP1B1,gene,0.0,1.0154173114,1.0154173114
116,ATP1B2,gene,0.0,1.1187716906,1.1187716906
117,ATP1B3,gene,0.0,1.0284545938,1.0284545938
118,ATP2A1,gene,0.0,0.0,0.0
119,ATP2A2,gene,0.0,0.203543744,0.203543744
120,ATP2A3,gene,0.0,0.2263566898,0.2263566898
121,ATP2B1,gene,0.0,0.0,0.0
122,ATP2B2,gene,0.0,0.0,0.0
123,ATP2B4,gene,0.0,0.0,0.0
124,ATP6V1A,gene,0.0,0.0,0.0
125,ATP6V1B1,gene,0.0,0.0,0.0
126,ATP6V1B2,gene,0.0,0.0,0.0
127,ATP6V1C1,gene,0.0,0.0,0.0
128,ATP6V1C2,gene,0.0,0.0,0.0
129,ATP6V1D,gene,0.0,0.0,0.0
130,ATP6V1E1,gene,0.0,0.0,0.0
131,ATP6V1E2,gene,0.0,0.0,0.0
132,ATP6V1F,gene,0.0,0.0,0.0
133,ATP6V1G1,gene,0.0,0.0,0.0
134,ATP6V1G2,gene,0.0,0.0,0.0
135,ATP6V1G3,gene,0.0,0.0,0.0
136,ATP6V1H,gene,0.0,0.0,0.0
137,ATR,gene,0.2079458174,0.0,0.2079458174
138,ATXN1,gene,0.0,0.0,0.0
139,ATXN1L,gene,0.0,0.0,0.0
140,AVP,gene,0.0,0.0,0.0
141,AVPR1A,gene,0.288621592,0.0,0.288621592
142,AVPR1B,gene,0.2349983572,0.0,0.2349983572
