hidden_layers,learning_rate,dropout_input,dropout_hidden,val_loss,test_loss
[8192, 4096],0.001,0.0,0.0,263.1191711425781,277.8718566894531
[8192, 4096],0.001,0.2,0.5,264.18414306640625,277.44866943359375
[8192, 4096],1e-05,0.0,0.0,510.348388671875,420.423583984375
[8192, 4096],1e-05,0.2,0.5,510.6202392578125,420.5683898925781
[2048, 1024],0.001,0.0,0.0,196.42877197265625,258.9470520019531
[2048, 1024],0.001,0.2,0.5,201.7605743408203,257.5704650878906
[2048, 1024],1e-05,0.0,0.0,510.02264404296875,420.22039794921875
[2048, 1024],1e-05,0.2,0.5,510.518310546875,420.46142578125
[8192, 4096, 2048],0.001,0.0,0.0,194.98434448242188,280.2989196777344
[8192, 4096, 2048],0.001,0.2,0.5,83.42373657226562,212.30712890625
[8192, 4096, 2048],1e-05,0.0,0.0,479.5821838378906,419.420654296875
[8192, 4096, 2048],1e-05,0.2,0.5,481.69891357421875,416.40234375
[4096, 2048, 1024],0.001,0.0,0.0,85.94487762451172,253.62425231933594
[4096, 2048, 1024],0.001,0.2,0.5,96.61927032470703,219.31625366210938
[4096, 2048, 1024],1e-05,0.0,0.0,469.931396484375,415.19134521484375
[4096, 2048, 1024],1e-05,0.2,0.5,473.9002990722656,412.4898681640625
