hidden_layers,learning_rate,dropout_input,dropout_hidden,val_loss,test_loss
[8192, 4096],0.001,0.0,0.0,255.98410034179688,295.5845947265625
[8192, 4096],0.001,0.2,0.5,256.04974365234375,295.3996887207031
[8192, 4096],1e-05,0.0,0.0,470.820068359375,438.2789611816406
[8192, 4096],1e-05,0.2,0.5,470.7996826171875,438.25909423828125
[2048, 1024],0.001,0.0,0.0,203.19448852539062,264.7885437011719
[2048, 1024],0.001,0.2,0.5,204.94540405273438,258.56787109375
[2048, 1024],1e-05,0.0,0.0,470.2927551269531,437.9673767089844
[2048, 1024],1e-05,0.2,0.5,470.1248474121094,437.96624755859375
[8192, 4096, 2048],0.001,0.0,0.0,201.8766632080078,282.92657470703125
[8192, 4096, 2048],0.001,0.2,0.5,97.91279602050781,244.07965087890625
[8192, 4096, 2048],1e-05,0.0,0.0,439.6932373046875,436.04229736328125
[8192, 4096, 2048],1e-05,0.2,0.5,443.4059753417969,433.7442932128906
[4096, 2048, 1024],0.001,0.0,0.0,98.90788269042969,285.0663757324219
[4096, 2048, 1024],0.001,0.2,0.5,103.70716857910156,247.83236694335938
[4096, 2048, 1024],1e-05,0.0,0.0,430.24578857421875,432.5690612792969
[4096, 2048, 1024],1e-05,0.2,0.5,436.52947998046875,430.07403564453125
