hidden_layers,learning_rate,dropout_input,dropout_hidden,val_loss,test_loss
[8192, 4096],0.1,0.0,0.0,104.60810089111328,313.2252197265625
[8192, 4096],0.1,0.2,0.5,104.55007934570312,278.4111328125
[8192, 4096],0.001,0.0,0.0,349.1114196777344,330.7477722167969
[8192, 4096],0.001,0.2,0.5,348.948486328125,330.6753845214844
[8192, 4096],1e-05,0.0,0.0,509.9583435058594,419.30328369140625
[8192, 4096],1e-05,0.2,0.5,510.1217956542969,419.365234375
[2048, 1024],0.1,0.0,0.0,89.50860595703125,294.6369934082031
[2048, 1024],0.1,0.2,0.5,151.86016845703125,322.40185546875
[2048, 1024],0.001,0.0,0.0,307.47906494140625,302.4110107421875
[2048, 1024],0.001,0.2,0.5,305.39080810546875,300.64459228515625
[2048, 1024],1e-05,0.0,0.0,509.8077087402344,419.2230529785156
[2048, 1024],1e-05,0.2,0.5,509.9976806640625,419.28948974609375
[8192, 4096, 2048],0.001,0.0,0.0,148.19235229492188,278.5790100097656
[8192, 4096, 2048],0.001,0.2,0.5,136.72677612304688,283.9868469238281
[8192, 4096, 2048],1e-05,0.0,0.0,509.4857482910156,419.1601257324219
[8192, 4096, 2048],1e-05,0.2,0.5,509.4587707519531,419.1150817871094
[4096, 2048, 1024],0.001,0.0,0.0,173.21405029296875,309.69720458984375
[4096, 2048, 1024],0.001,0.2,0.5,113.43099975585938,267.8485412597656
[4096, 2048, 1024],1e-05,0.0,0.0,509.04302978515625,419.0321960449219
[4096, 2048, 1024],1e-05,0.2,0.5,509.13409423828125,419.09124755859375
