hidden_layers,learning_rate,dropout_input,dropout_hidden,val_loss,test_loss
[8192, 4096],0.001,0.0,0.0,252.9108428955078,291.4566955566406
[8192, 4096],0.001,0.2,0.5,253.75173950195312,291.26373291015625
[8192, 4096],1e-05,0.0,0.0,470.5688171386719,438.1241760253906
[8192, 4096],1e-05,0.2,0.5,470.8326416015625,438.2769775390625
[2048, 1024],0.001,0.0,0.0,200.68968200683594,257.3094482421875
[2048, 1024],0.001,0.2,0.5,205.48619079589844,258.7060546875
[2048, 1024],1e-05,0.0,0.0,470.1198425292969,437.893310546875
[2048, 1024],1e-05,0.2,0.5,470.681884765625,438.0316162109375
[8192, 4096, 2048],0.001,0.0,0.0,200.38275146484375,281.6593322753906
[8192, 4096, 2048],0.001,0.2,0.5,96.07360076904297,241.2855987548828
[8192, 4096, 2048],1e-05,0.0,0.0,438.91265869140625,435.52960205078125
[8192, 4096, 2048],1e-05,0.2,0.5,441.3417053222656,432.9679870605469
[4096, 2048, 1024],0.001,0.0,0.0,93.5241928100586,275.4747009277344
[4096, 2048, 1024],0.001,0.2,0.5,106.16197204589844,252.33168029785156
[4096, 2048, 1024],1e-05,0.0,0.0,430.2396545410156,431.6623229980469
[4096, 2048, 1024],1e-05,0.2,0.5,434.24017333984375,429.370361328125
