hidden_layers,learning_rate,dropout_input,dropout_hidden,val_loss,test_loss
[8192, 4096],0.001,0.0,0.0,252.68861389160156,292.3523864746094
[8192, 4096],0.001,0.2,0.5,253.32106018066406,291.4447326660156
[8192, 4096],1e-05,0.0,0.0,470.5772705078125,438.1294250488281
[8192, 4096],1e-05,0.2,0.5,470.8466491699219,438.2545166015625
[2048, 1024],0.001,0.0,0.0,200.1341552734375,258.06005859375
[2048, 1024],0.001,0.2,0.5,205.4159698486328,259.22210693359375
[2048, 1024],1e-05,0.0,0.0,470.1108703613281,437.8693542480469
[2048, 1024],1e-05,0.2,0.5,470.71661376953125,438.0946960449219
[8192, 4096, 2048],0.001,0.0,0.0,196.14959716796875,277.08245849609375
[8192, 4096, 2048],0.001,0.2,0.5,95.5344009399414,240.24502563476562
[8192, 4096, 2048],1e-05,0.0,0.0,438.8659362792969,435.6650695800781
[8192, 4096, 2048],1e-05,0.2,0.5,441.36956787109375,432.92852783203125
[4096, 2048, 1024],0.001,0.0,0.0,94.99842071533203,281.0866394042969
[4096, 2048, 1024],0.001,0.2,0.5,106.07634735107422,248.63751220703125
[4096, 2048, 1024],1e-05,0.0,0.0,430.19720458984375,431.6455993652344
[4096, 2048, 1024],1e-05,0.2,0.5,434.2217102050781,429.2576904296875
