hidden_layers,learning_rate,dropout_input,dropout_hidden,val_loss,test_loss
[8192, 4096],0.1,0.0,0.0,109.3467788696289,322.2597351074219
[8192, 4096],0.1,0.2,0.5,107.45011901855469,282.3514099121094
[8192, 4096],0.001,0.0,0.0,323.7998352050781,348.5882263183594
[8192, 4096],0.001,0.2,0.5,323.72930908203125,348.54144287109375
[8192, 4096],1e-05,0.0,0.0,470.23931884765625,437.03302001953125
[8192, 4096],1e-05,0.2,0.5,470.4250793457031,437.10821533203125
[2048, 1024],0.1,0.0,0.0,92.07302856445312,300.14727783203125
[2048, 1024],0.1,0.2,0.5,149.37799072265625,287.4715881347656
[2048, 1024],0.001,0.0,0.0,288.61151123046875,318.7911682128906
[2048, 1024],0.001,0.2,0.5,285.7025146484375,316.8647766113281
[2048, 1024],1e-05,0.0,0.0,470.0927734375,436.9820861816406
[2048, 1024],1e-05,0.2,0.5,470.2773742675781,437.0448913574219
[8192, 4096, 2048],0.001,0.0,0.0,145.33726501464844,273.8112487792969
[8192, 4096, 2048],0.001,0.2,0.5,134.68594360351562,276.6119079589844
[8192, 4096, 2048],1e-05,0.0,0.0,469.7319641113281,436.8689880371094
[8192, 4096, 2048],1e-05,0.2,0.5,469.76007080078125,436.84033203125
[4096, 2048, 1024],0.001,0.0,0.0,188.5630340576172,308.2984619140625
[4096, 2048, 1024],0.001,0.2,0.5,118.0631332397461,263.2645568847656
[4096, 2048, 1024],1e-05,0.0,0.0,469.2886962890625,436.71881103515625
[4096, 2048, 1024],1e-05,0.2,0.5,469.3541259765625,436.7476501464844
