hidden_layers,learning_rate,dropout_input,dropout_hidden,val_loss,test_loss
[8192, 4096],0.001,0.0,0.0,255.6298828125,296.0936584472656
[8192, 4096],0.001,0.2,0.5,255.96751403808594,296.21966552734375
[8192, 4096],1e-05,0.0,0.0,470.8467102050781,438.26300048828125
[8192, 4096],1e-05,0.2,0.5,470.79486083984375,438.25653076171875
[2048, 1024],0.001,0.0,0.0,202.71656799316406,264.56597900390625
[2048, 1024],0.001,0.2,0.5,204.21043395996094,260.0264892578125
[2048, 1024],1e-05,0.0,0.0,470.2829895019531,438.00677490234375
[2048, 1024],1e-05,0.2,0.5,470.1280822753906,437.92626953125
[8192, 4096, 2048],0.001,0.0,0.0,197.51446533203125,277.080078125
[8192, 4096, 2048],0.001,0.2,0.5,96.05277252197266,248.1205596923828
[8192, 4096, 2048],1e-05,0.0,0.0,439.687255859375,436.01666259765625
[8192, 4096, 2048],1e-05,0.2,0.5,443.35467529296875,433.695068359375
[4096, 2048, 1024],0.001,0.0,0.0,99.40596771240234,289.86767578125
[4096, 2048, 1024],0.001,0.2,0.5,103.43125915527344,245.02720642089844
[4096, 2048, 1024],1e-05,0.0,0.0,430.3128356933594,432.6610412597656
[4096, 2048, 1024],1e-05,0.2,0.5,436.485595703125,430.1107177734375
