hidden_layers,learning_rate,dropout_input,dropout_hidden,val_loss,test_loss
[8192, 4096],0.001,0.0,0.0,266.6799011230469,280.7724914550781
[8192, 4096],0.001,0.2,0.5,267.3870544433594,280.44696044921875
[8192, 4096],1e-05,0.0,0.0,510.5937805175781,420.556396484375
[8192, 4096],1e-05,0.2,0.5,510.54974365234375,420.5499572753906
[2048, 1024],0.001,0.0,0.0,199.3829345703125,261.4268798828125
[2048, 1024],0.001,0.2,0.5,201.81423950195312,255.04718017578125
[2048, 1024],1e-05,0.0,0.0,510.148193359375,420.3653869628906
[2048, 1024],1e-05,0.2,0.5,509.96514892578125,420.30718994140625
[8192, 4096, 2048],0.001,0.0,0.0,195.4910125732422,279.0561828613281
[8192, 4096, 2048],0.001,0.2,0.5,83.41266632080078,211.892578125
[8192, 4096, 2048],1e-05,0.0,0.0,480.7009582519531,419.98919677734375
[8192, 4096, 2048],1e-05,0.2,0.5,483.8828430175781,417.21246337890625
[4096, 2048, 1024],0.001,0.0,0.0,94.07833099365234,261.93609619140625
[4096, 2048, 1024],0.001,0.2,0.5,91.08533477783203,211.46115112304688
[4096, 2048, 1024],1e-05,0.0,0.0,470.0687561035156,416.1356506347656
[4096, 2048, 1024],1e-05,0.2,0.5,476.4557800292969,413.2586364746094
