hidden_layers,learning_rate,dropout_input,dropout_hidden,val_loss,test_loss
[8192, 4096],0.001,0.0,0.0,266.85308837890625,280.3209533691406
[8192, 4096],0.001,0.2,0.5,267.5184326171875,280.2429504394531
[8192, 4096],1e-05,0.0,0.0,510.6160583496094,420.5685729980469
[8192, 4096],1e-05,0.2,0.5,510.5649108886719,420.54644775390625
[2048, 1024],0.001,0.0,0.0,199.6305389404297,261.73358154296875
[2048, 1024],0.001,0.2,0.5,202.12408447265625,254.8336639404297
[2048, 1024],1e-05,0.0,0.0,510.14434814453125,420.3625793457031
[2048, 1024],1e-05,0.2,0.5,509.95745849609375,420.299560546875
[8192, 4096, 2048],0.001,0.0,0.0,197.2650909423828,279.87091064453125
[8192, 4096, 2048],0.001,0.2,0.5,80.53679656982422,214.55438232421875
[8192, 4096, 2048],1e-05,0.0,0.0,480.7130432128906,419.8424072265625
[8192, 4096, 2048],1e-05,0.2,0.5,483.8939514160156,417.2015380859375
[4096, 2048, 1024],0.001,0.0,0.0,93.51275634765625,265.71142578125
[4096, 2048, 1024],0.001,0.2,0.5,90.10702514648438,208.8839111328125
[4096, 2048, 1024],1e-05,0.0,0.0,470.1285705566406,416.091552734375
[4096, 2048, 1024],1e-05,0.2,0.5,476.4760437011719,413.2435607910156
