hidden_layers,learning_rate,dropout_input,dropout_hidden,val_loss,test_loss
[8192, 4096],0.001,0.0,0.0,262.6937255859375,277.8665771484375
[8192, 4096],0.001,0.2,0.5,263.5673522949219,277.89794921875
[8192, 4096],1e-05,0.0,0.0,510.33795166015625,420.4166259765625
[8192, 4096],1e-05,0.2,0.5,510.63360595703125,420.57244873046875
[2048, 1024],0.001,0.0,0.0,197.12120056152344,258.2789306640625
[2048, 1024],0.001,0.2,0.5,201.76864624023438,257.66839599609375
[2048, 1024],1e-05,0.0,0.0,510.0166931152344,420.2146301269531
[2048, 1024],1e-05,0.2,0.5,510.4798583984375,420.455322265625
[8192, 4096, 2048],0.001,0.0,0.0,193.97634887695312,279.8995056152344
[8192, 4096, 2048],0.001,0.2,0.5,82.69715881347656,209.9158172607422
[8192, 4096, 2048],1e-05,0.0,0.0,479.7082824707031,419.4921875
[8192, 4096, 2048],1e-05,0.2,0.5,481.6118469238281,416.360107421875
[4096, 2048, 1024],0.001,0.0,0.0,87.56202697753906,249.06381225585938
[4096, 2048, 1024],0.001,0.2,0.5,95.19670104980469,221.9354705810547
[4096, 2048, 1024],1e-05,0.0,0.0,469.9089050292969,415.1346435546875
[4096, 2048, 1024],1e-05,0.2,0.5,473.9779357910156,412.49005126953125
